metadata_has_creator,metadata_has_producer,metadata_modification_gap_days,metadata_large_date_gap,metadata_xmp_present,metadata_font_count,metadata_unique_font_count,metadata_font_mismatch,metadata_object_stream_anomaly,ela_mean,ela_std,ela_max,ela_high_fraction,noise_std,noise_local_variance,noise_edge_ratio,font_layout_unique_fonts,font_layout_font_diversity,font_layout_spacing_irregularity,font_layout_baseline_drift,font_layout_font_mismatch,ocr_word_count,ocr_suspicious_token_ratio,ocr_text_available,ocr_copy_paste_artifact,hash_available,hash_distance,hash_mismatch,label,provenance,tamper_type,filename
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4769320487976074,1.2391506433486938,14.0,0.0,9.863189697265625,2183.640869140625,0.19858805338541666,0.0,0.0,0.0,0.8823922171993501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,KAGGLE_CASIA_2_0,none_authentic,Au_arc_30007.jpg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0629068985581398,0.2666376233100891,4.0,0.0,1.4628784656524658,49.295806884765625,0.0018310546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,KAGGLE_CASIA_2_0,none_authentic,Au_arc_30076.jpg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7843389511108398,1.6075979471206665,15.666666984558105,0.0,12.899958610534668,3917.062255859375,0.20859781901041666,0.0,0.0,0.0,2.7369841148944043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,KAGGLE_CASIA_2_0,splicing_or_copymove,Tp_S_NNN_S_N_art00099_art00099_01002.tif
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1985337734222412,1.045638918876648,12.666666984558105,0.0,6.883462905883789,988.369873046875,0.13307698567708334,0.0,0.0,0.0,1.2688402403595005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,KAGGLE_CASIA_2_0,none_authentic,Au_sec_30536.jpg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9253390431404114,0.9497886896133423,10.333333015441895,0.0,10.420537948608398,2537.081787109375,0.20507282772476143,0.0,0.0,0.0,0.1428261375083551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,KAGGLE_CASIA_2_0,splicing_or_copymove,Tp_S_NRN_S_N_sec20037_sec20037_01627.tif
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1912740021944046,0.40616968274116516,3.6666667461395264,0.0,4.569735050201416,502.907470703125,0.060089111328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,KAGGLE_CASIA_2_0,none_authentic,Au_art_00019.jpg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2842949628829956,1.275839924812317,14.0,0.0,8.646440505981445,1776.9769287109375,0.17359415690104166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,KAGGLE_CASIA_2_0,none_authentic,Au_nat_30528.jpg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1530355215072632,1.1721678972244263,17.33333396911621,0.0,6.667969703674316,953.7697143554688,0.1995849609375,0.0,0.0,0.0,14.158185437266775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,KAGGLE_CASIA_2_0,splicing_or_copymove,Tp_D_NNN_S_B_cha00081_cha00065_00401.tif
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.540279746055603,1.210048794746399,13.0,0.0,10.10097599029541,2283.499755859375,0.15313720703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,KAGGLE_CASIA_2_0,splicing_or_copymove,Tp_D_NRN_S_B_cha00036_cha00070_11738.jpg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3888076543807983,1.2029105424880981,12.0,0.0,9.55458927154541,1996.0426025390625,0.22101847330729166,0.0,0.0,0.0,22.715845508987968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,KAGGLE_CASIA_2_0,none_authentic,Au_ani_30255.jpg
